,id_recipe,Step_Count,Step Description
0,6769466,1,"Gently tear open the burrata cheese to expose the soft, creamy core and place in the center of a plate. Arrange peach slices in and around the cheese. Sprinkle basil leaves over cheese and drizzle with olive oil."
1,6769466,2,"Bring raspberry balsamic vinegar to a boil in a small saucepan; reduce heat to medium-low and simmer until vinegar reduces to a thick syrup, about 5 minutes. Spoon balsamic syrup over peaches and cheese; season with sea salt and black pepper."
2,7092119,1,"Peel grapefruits, oranges, and tangerines with a serrated edge knife, being careful to remove the white pith."
3,7092119,2,Slice all citrus fruit crossways and remove any seeds. Evenly distribute slices amongst 4 salad plates. Sprinkle pomegranate arils evenly over each salad.
4,7092119,3,Stir together sour cream and undiluted lemonade concentrate in a small bowl for the dressing until smooth. Drizzle dressing over each salad. Garnish with mint sprigs.
5,6746706,1,"In a medium serving bowl, combine the grapes, walnuts, onion, green onion, radishes and raisins. Toss with balsamic vinaigrette dressing just before serving."
6,6649729,1,"For the sauce: Bring orange juice, lemon juice, brown sugar, orange zest, and lemon zest to a boil in a saucepan over medium-high heat. Reduce heat to medium-low and simmer until slightly thickened, about 5 minutes. Remove from heat and stir in vanilla extract. Set aside to cool."
7,6649729,2,"For the salad: Layer fruit in a large, clear glass bowl in this order: pineapple, strawberries, kiwi fruit, bananas, oranges, grapes, and blueberries. Pour cooled sauce over fruit; cover and refrigerate for 3 to 4 hours before serving."
8,7511300,1,Place the chilled watermelon cubes in a large bowl.
9,7511300,2,"Whisk olive oil, lemon juice, lemon zest, kosher salt, and black pepper together in a small bowl."
10,7511300,3,"Just before serving, drizzle dressing over chilled watermelon, and toss gently. Sprinkle feta cheese and mint over the watermelon, but do not mix in. Serve immediately."
11,6584919,1,"Gently mix watermelon, tomatoes, feta cheese, onion, and mint in a large bowl."
12,6584919,2,"Whisk olive oil, vinegar, salt, and pepper together in a small bowl; drizzle over salad and gently toss to coat."
13,6738426,1,"Place cranberries, orange (including rind), and sugar in a food processor. Process together until the cranberries and orange are roughly ground and well combined with sugar. Transfer to a bowl. Stir in celery, walnuts, and pineapple until thoroughly mixed."
